食品名,P,F,C
だいず　［全粒・全粒製品］　いり大豆　黒大豆,36.4 ,22.0,17.9 
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,12.9 ,6.7 ,1.7 
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,16.6 ,9.8 ,4.7 
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,37.0,22.8 ,14.7 
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,36.6 ,24.6 ,9.2 
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,36.7 ,25.7 ,13.9 
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,37.5 ,25.1 ,18.4 
だいず　［全粒・全粒製品］　きな粉砂糖入り　青きな粉,18.5 ,11.4 ,57.9 
だいず　［全粒・全粒製品］　きな粉砂糖入り　きな粉,18.3 ,12.9 ,56.6 
だいず　［全粒・全粒製品］　大豆はいが,37.8 ,14.7 ,20.7 
だいず　［全粒・全粒製品］　ぶどう豆,14.1 ,9.4 ,31.8 
だいず　［豆腐・油揚げ類］　木綿豆腐,7.0,4.9 ,0.9 
だいず　［豆腐・油揚げ類］　木綿豆腐　凝固剤：塩化マグネシウム,7.0,4.9 ,0.9 
だいず　［豆腐・油揚げ類］　木綿豆腐　凝固剤：硫酸カルシウム,7.0,4.9 ,0.9 
だいず　［豆腐・油揚げ類］　絹ごし豆腐,5.3 ,3.5 ,1.1 
だいず　［豆腐・油揚げ類］　絹ごし豆腐　凝固剤：塩化マグネシウム,5.3 ,3.5 ,1.1 
だいず　［豆腐・油揚げ類］　絹ごし豆腐　凝固剤：硫酸カルシウム,5.3 ,3.5 ,1.1 
だいず　［豆腐・油揚げ類］　ソフト豆腐,5.1 ,3.3 ,1.9 
だいず　［豆腐・油揚げ類］　充てん豆腐,5.0,3.1 ,2.4 
だいず　［豆腐・油揚げ類］　沖縄豆腐,9.1 ,7.2 ,1.1 
だいず　［豆腐・油揚げ類］　ゆし豆腐,4.3 ,2.8 ,1.8 
だいず　［豆腐・油揚げ類］　焼き豆腐,7.8 ,5.7 ,1.0
だいず　［豆腐・油揚げ類］　生揚げ,10.7 ,11.3 ,1.2 
だいず　［豆腐・油揚げ類］　油揚げ　生,23.4 ,34.4 ,2.8 
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,18.2 ,23.4 ,1.6 
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,12.4 ,13.8 ,1.1 
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,24.9 ,32.2 ,3.2 
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,11.2 ,13.0,20.5 
だいず　［豆腐・油揚げ類］　がんもどき,15.3 ,17.8 ,1.3 
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,50.5 ,34.1 ,4.3 
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,10.7 ,7.3 ,1.1 
だいず　［豆腐・油揚げ類］　豆腐よう,9.5 ,8.3 ,19.6 
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,14.9 ,4.4 ,7.9 
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,16.1 ,4.9 ,9.3 
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,34.7 ,21.5 ,3.7 
だいず　［納豆類］　糸引き納豆,16.5 ,10.0,7.7 
だいず　［納豆類］　挽きわり納豆,16.6 ,10.0,6.4 
だいず　［納豆類］　五斗納豆,15.3 ,8.1 ,20.3 
だいず　［納豆類］　寺納豆,18.6 ,8.1 ,25.9 
だいず　［その他］　おから　生,6.1 ,3.6 ,3.2 
だいず　［その他］　おから　乾燥,23.1 ,13.6 ,12.6 
だいず　［その他］　豆乳　豆乳,3.6 ,2.0,3.3 
だいず　［その他］　豆乳　調製豆乳,3.2 ,3.6 ,4.8 
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,2.2 ,2.2 ,8.0
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,46.3 ,3.0,22.2 
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,58.2 ,1.7 ,10.8 
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,79.1 ,3.0,6.7 
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,79.1 ,3.0,6.7 
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,59.3 ,5.0,23.8 
だいず　［その他］　湯葉　生,21.8 ,13.7 ,5.1 
だいず　［その他］　湯葉　干し　乾,50.4 ,32.1 ,7.0
だいず　［その他］　湯葉　干し　湯戻し,15.7 ,10.6 ,0.3 
だいず　［その他］　金山寺みそ,6.9 ,3.2 ,48.5 
だいず　［その他］　ひしおみそ,6.5 ,2.7 ,37.5 
だいず　［その他］　テンペ,15.8 ,9.0,10.2 
つるあずき　全粒　乾,20.8 ,1.6 ,43.3 
つるあずき　全粒　ゆで,9.7 ,1.0,15.8 
ひよこまめ　全粒　乾,20.0,5.2 ,49.4 
ひよこまめ　全粒　ゆで,9.5 ,2.5 ,17.8 
ひよこまめ　全粒　フライ　味付け,18.8 ,10.4 ,47.0
べにばないんげん　全粒　乾,17.2 ,1.7 ,38.4 
べにばないんげん　全粒　ゆで,6.2 ,0.6 ,16.1 
やぶまめ　乾,23.4 ,10.1 ,49.5 
らいまめ　全粒　乾,21.9 ,1.8 ,44.8 
らいまめ　全粒　ゆで,9.6 ,0.9 ,16.7 
りょくとう　全粒　乾,25.1 ,1.5 ,49.4 
りょくとう　全粒　ゆで,10.2 ,0.6 ,19.5 
レンズまめ　全粒　乾,23.2 ,1.5 ,47.9 
レンズまめ　全粒　ゆで,11.2 ,0.8 ,21.7 
アーモンド　乾,19.6 ,51.8 ,11.5 
アーモンド　フライ　味付け,21.3 ,55.7 ,10.6 
アーモンド　いり　無塩,20.3 ,54.1 ,10.9 
あさ　乾,29.9 ,28.3 ,14.0
あまに　いり,21.8 ,43.3 ,10.2 
えごま　乾,17.7 ,43.4 ,12.2 
カシューナッツ　フライ　味付け,19.8 ,47.6 ,20.2 
かぼちゃ　いり　味付け,26.5 ,51.8 ,9.0
かや　いり,8.7 ,64.9 ,13.1 
ぎんなん　生,4.7 ,1.6 ,33.9 
ぎんなん　ゆで,4.6 ,1.5 ,34.3 
くり類　日本ぐり　生,2.8 ,0.5 ,33.2 
くり類　日本ぐり　ゆで,3.5 ,0.6 ,30.8 
くり類　日本ぐり　甘露煮,1.8 ,0.4 ,54.4 
くり類　中国ぐり　甘ぐり,4.9 ,0.9 ,40.6 
くるみ　いり,14.6 ,68.8 ,3.7 
けし　乾,19.3 ,49.1 ,5.8 
ココナッツ　ココナッツパウダー,6.1 ,65.8 ,11.5 
ごま　乾,19.8 ,53.8 ,7.0
ごま　いり,20.3 ,54.2 ,9.3 
ごま　むき,19.3 ,54.9 ,16.2 
ごま　ねり,19.0,61.0,9.0
しい　生,3.2 ,0.8 ,54.9 
すいか　いり　味付け,29.6 ,46.4 ,16.7 
チアシード　乾,19.4 ,33.9 ,0
とち　蒸し,1.7 ,1.9 ,27.8 
はす　未熟　生,5.9 ,0.5 ,12.5 
はす　成熟　乾,18.3 ,2.3 ,54.9 
はす　成熟　ゆで,7.3 ,0.8 ,20.3 
ひし類　ひし　生,5.8 ,0.5 ,38.3 
ひし類　とうびし　生,2.7 ,0.4 ,23.2 
ひし類　とうびし　ゆで,2.7 ,0.3 ,25.4 
ピスタチオ　いり　味付け,17.4 ,56.1 ,13.1 
ひまわり　フライ　味付け,20.1 ,56.3 ,19.1 
ブラジルナッツ　フライ　味付け,14.9 ,69.1 ,3.4 
ヘーゼルナッツ　フライ　味付け,13.6 ,69.3 ,9.1 
ペカン　フライ　味付け,9.6 ,73.4 ,9.3 
マカダミアナッツ　いり　味付け,8.3 ,76.7 ,6.7 
まつ　生,15.8 ,68.2 ,21.0
まつ　いり,14.6 ,72.5 ,14.4 
らっかせい　大粒種　乾,25.2 ,47.0,12.4 
らっかせい　大粒種　いり,25.0,49.6 ,10.1 
らっかせい　小粒種　乾,25.4 ,47.5 ,13.2 
らっかせい　小粒種　いり,26.5 ,49.4 ,13.0
らっかせい　バターピーナッツ,23.3 ,53.2 ,10.6 
らっかせい　ピーナッツバター,20.6 ,50.4 ,20.5 
アーティチョーク　花らい　生,2.3 ,0.2 ,3.1 
アーティチョーク　花らい　ゆで,2.1 ,0.1 ,2.6 
あさつき　葉　生,4.2 ,0.3 ,3.8 
あさつき　葉　ゆで,4.2 ,0.3 ,5.4 
あしたば　茎葉　生,3.3 ,0.1 ,2.0
あしたば　茎葉　ゆで,2.9 ,0.1 ,2.1 
アスパラガス　若茎　生,2.6 ,0.2 ,2.7 
アスパラガス　若茎　ゆで,2.6 ,0.1 ,3.3 
アスパラガス　若茎　油いため,2.9 ,3.9 ,3.1 
アスパラガス　水煮缶詰,2.4 ,0.1 ,3.4 
アロエ　葉　生,0,0.1 ,0.3 
いんげんまめ　さやいんげん　若ざや　生,1.8 ,0.1 ,3.0
いんげんまめ　さやいんげん　若ざや　ゆで,1.8 ,0.2 ,3.2 
うど類　うど　茎　生,0.8 ,0.1 ,2.9 
うど類　うど　茎　水さらし,0.6 ,0,1.8 
うど類　やまうど　茎　生,1.1 ,0.1 ,2.6 
うるい　葉　生,1.9 ,0.4 ,1.4 
えだまめ　生,11.7 ,6.2 ,5.7 
えだまめ　ゆで,11.5 ,6.1 ,6.2 
えだまめ　冷凍,13.0,7.6 ,5.6 
エンダイブ　葉　生,1.2 ,0.2 ,1.1 
えんどう類　トウミョウ　茎葉　生,3.8 ,0.4 ,2.3 
えんどう類　トウミョウ　芽ばえ　生,3.8 ,0.4 ,2.6 
えんどう類　トウミョウ　芽ばえ　ゆで,3.6 ,0.6 ,1.8 
えんどう類　トウミョウ　芽ばえ　油いため,5.0,5.9 ,3.4 
えんどう類　さやえんどう　若ざや　生,3.1 ,0.2 ,5.8 
えんどう類　さやえんどう　若ざや　ゆで,3.2 ,0.2 ,5.3 
えんどう類　スナップえんどう　若ざや　生,2.9 ,0.1 ,8.7 
えんどう類　グリンピース　生,6.9 ,0.4 ,9.5 
えんどう類　グリンピース　ゆで,8.3 ,0.2 ,12.2 
えんどう類　グリンピース　冷凍,5.8 ,0.7 ,9.0
えんどう類　グリンピース　冷凍　ゆで,6.2 ,0.7 ,8.8 
えんどう類　グリンピース　冷凍　油いため,6.3 ,4.6 ,10.7 
えんどう類　グリンピース　水煮缶詰,3.6 ,0.4 ,13.8 
おおさかしろな　葉　生,1.4 ,0.2 ,0.9 
おおさかしろな　葉　ゆで,1.6 ,0.3 ,1.5 
おおさかしろな　塩漬,1.3 ,0.3 ,1.9 
おかひじき　茎葉　生,1.4 ,0.2 ,0.9 
おかひじき　茎葉　ゆで,1.2 ,0.1 ,1.1 
オクラ　果実　生,2.1 ,0.2 ,2.2 
オクラ　果実　ゆで,2.1 ,0.1 ,3.0
かぶ　葉　生,2.3 ,0.1 ,1.4 
かぶ　葉　ゆで,2.3 ,0.1 ,1.1 
かぶ　根　皮つき　生,0.7 ,0.1 ,3.1 
かぶ　根　皮つき　ゆで,0.7 ,0.1 ,2.9 
かぶ　根　皮なし　生,0.6 ,0.1 ,3.5 
かぶ　根　皮なし　ゆで,0.6 ,0.1 ,3.4 
かぶ　漬物　塩漬　葉,2.3 ,0.2 ,2.8 
かぶ　漬物　塩漬　根　皮つき,1.0,0.2 ,3.2 
かぶ　漬物　塩漬　根　皮なし,0.8 ,0.1 ,2.9 
かぶ　漬物　ぬかみそ漬　葉,3.3 ,0.1 ,3.1 
かぶ　漬物　ぬかみそ漬　根　皮つき,1.5 ,0.1 ,3.9 
かぶ　漬物　ぬかみそ漬　根　皮なし,1.4 ,0.1 ,5.1 
かぼちゃ類　日本かぼちゃ　果実　生,1.6 ,0.1 ,8.6 
かぼちゃ類　日本かぼちゃ　果実　ゆで,1.9 ,0.1 ,10.3 
かぼちゃ類　西洋かぼちゃ　果実　生,1.9 ,0.3 ,17.6 
かぼちゃ類　西洋かぼちゃ　果実　ゆで,1.6 ,0.3 ,17.6 
かぼちゃ類　西洋かぼちゃ　果実　焼き,2.5 ,0.4 ,23.1 
かぼちゃ類　西洋かぼちゃ　果実　冷凍,2.2 ,0.3 ,14.9 
かぼちゃ類　そうめんかぼちゃ　果実　生,0.7 ,0.1 ,4.9 
からしな　葉　生,3.3 ,0.1 ,1.5 
からしな　塩漬,4.0,0.1 ,2.9 
カリフラワー　花序　生,3.0,0.1 ,2.9 
カリフラワー　花序　ゆで,2.7 ,0.1 ,2.4 
かんぴょう　乾,6.3 ,0.2 ,40.0
かんぴょう　ゆで,0.7 ,0,2.1 
かんぴょう　甘煮,2.3 ,0.2 ,31.4 
きく　花びら　生,1.4 ,0,3.3 
きく　花びら　ゆで,1.0,0,3.0
きく　菊のり,11.6 ,0.2 ,46.0
キャベツ類　キャベツ　結球葉　生,1.3 ,0.2 ,3.8 
キャベツ類　キャベツ　結球葉　ゆで,0.9 ,0.2 ,2.9 
キャベツ類　キャベツ　結球葉　油いため,1.6 ,6.0,4.3 
キャベツ類　グリーンボール　結球葉　生,1.4 ,0.1 ,3.0
キャベツ類　レッドキャベツ　結球葉　生,2.0,0.1 ,4.7 
きゅうり　果実　生,1.0,0.1 ,2.0
きゅうり　漬物　塩漬,1.0,0.1 ,2.8 
きゅうり　漬物　しょうゆ漬,3.2 ,0.4 ,7.7 
きゅうり　漬物　ぬかみそ漬,1.5 ,0.1 ,4.8 
きゅうり　漬物　ピクルス　スイート型,0.3 ,0.1 ,16.7 
きゅうり　漬物　ピクルス　サワー型,1.4 ,0.0 ,1.5 
ぎょうじゃにんにく　葉　生,3.5 ,0.2 ,4.5 
キンサイ　茎葉　生,1.1 ,0.4 ,1.4 
キンサイ　茎葉　ゆで,1.1 ,0.4 ,1.0
クレソン　茎葉　生,2.1 ,0.1 ,0.7 
くわい　塊茎　生,6.3 ,0.1 ,24.2 
くわい　塊茎　ゆで,6.2 ,0.1 ,24.4 
ケール　葉　生,2.1 ,0.4 ,2.7 
コールラビ　球茎　生,1.0,0,3.6 
コールラビ　球茎　ゆで,1.0,0.0 ,3.3 
こごみ　若芽　生,3.0,0.2 ,0.9 
ごぼう　根　生,1.8 ,0.1 ,10.4 
ごぼう　根　ゆで,1.5 ,0.2 ,8.2 
こまつな　葉　生,1.5 ,0.2 ,0.8 
こまつな　葉　ゆで,1.6 ,0.1 ,0.9 
コリアンダー　葉　生,1.4 ,0.4 ,0.1 
ザーサイ　漬物,2.5 ,0.1 ,0.5 
さんとうさい　葉　生,1.0,0.2 ,0.9 
さんとうさい　葉　ゆで,1.4 ,0.3 ,0.9 
さんとうさい　塩漬,1.5 ,0.3 ,1.5 
しかくまめ　若ざや　生,2.4 ,0.1 ,1.0
ししとう　果実　生,1.9 ,0.3 ,2.6 
ししとう　果実　油いため,1.9 ,3.2 ,2.8 
しそ　葉　生,3.9 ,0.1 ,1.0
しそ　実　生,3.4 ,0.1 ,0.7 
じゅうろくささげ　若ざや　生,2.5 ,0.1 ,1.3 
じゅうろくささげ　若ざや　ゆで,2.8 ,0.1 ,2.5 
しゅんぎく　葉　生,2.3 ,0.3 ,1.3 
しゅんぎく　葉　ゆで,2.7 ,0.5 ,1.6 
じゅんさい　若葉　水煮びん詰,0.4 ,0,0
しょうが類　葉しょうが　根茎　生,0.5 ,0.2 ,0.7 
しょうが類　しょうが　根茎　皮なし　生,0.9 ,0.3 ,4.6 
しょうが類　しょうが　根茎　皮なし　生　おろし,0.7 ,0.8 ,8.9 
しょうが類　しょうが　根茎　皮なし　生　おろし汁,0.4 ,0.3 ,3.3 
しょうが類　しょうが　漬物　酢漬,0.3 ,0.2 ,1.2 
しょうが類　しょうが　漬物　甘酢漬,0.2 ,0.4 ,8.6 
しょうが類　新しょうが　根茎　生,0.3 ,0.3 ,0.7 
しろうり　果実　生,0.9 ,0.1 ,2.5 
しろうり　漬物　塩漬,1.0,0.1 ,1.9 
しろうり　漬物　奈良漬,4.6 ,0.2 ,37.2 
ずいき　生ずいき　生,0.5 ,0,2.8 
ずいき　生ずいき　ゆで,0.4 ,0,1.2 
ずいき　干しずいき　乾,6.6 ,0.4 ,41.8 
ずいき　干しずいき　ゆで,0.5 ,0,0.6 
すいぜんじな　葉　生,0.6 ,0.6 ,0
すぐきな　葉　生,1.9 ,0.2 ,1.7 
すぐきな　根　生,0.6 ,0.1 ,3.1 
すぐきな　すぐき漬,2.6 ,0.7 ,1.6 
ズッキーニ　果実　生,1.3 ,0.1 ,1.9 
せり　茎葉　生,2.0,0.1 ,1.0
せり　茎葉　ゆで,2.1 ,0.1 ,0.8 
セロリ　葉柄　生,0.4 ,0.1 ,1.1 
ぜんまい　生ぜんまい　若芽　生,1.7 ,0.1 ,3.2 
ぜんまい　生ぜんまい　若芽　ゆで,1.1 ,0.4 ,0.9 
ぜんまい　干しぜんまい　干し若芽　乾,14.6 ,0.6 ,39.8 
ぜんまい　干しぜんまい　干し若芽　ゆで,1.7 ,0.1 ,2.0
そらまめ　未熟豆　生,10.9 ,0.2 ,15.6 
そらまめ　未熟豆　ゆで,10.5 ,0.2 ,15.7 
タアサイ　葉　生,1.3 ,0.2 ,0.6 
タアサイ　葉　ゆで,1.1 ,0.2 ,0.5 
だいこん類　かいわれだいこん　芽ばえ　生,2.1 ,0.5 ,2.0
だいこん類　葉だいこん　葉　生,2.0,0.2 ,1.1 
だいこん類　だいこん　葉　生,2.2 ,0.1 ,1.6 
だいこん類　だいこん　葉　ゆで,2.2 ,0.1 ,2.2 
だいこん類　だいこん　根　皮つき　生,0.5 ,0.1 ,2.9 
だいこん類　だいこん　根　皮つき　ゆで,0.4 ,0.0 ,3.0
だいこん類　だいこん　根　皮なし　生,0.4 ,0.1 ,3.0
だいこん類　だいこん　根　皮なし　生　おろし,0.6 ,0.2 ,3.0
だいこん類　だいこん　根　皮なし　生　おろし汁,0.3 ,0.0 ,2.7 
だいこん類　だいこん　根　皮なし　生　おろし水洗い,0.6 ,0.1 ,2.6 
だいこん類　だいこん　根　皮なし　ゆで,0.5 ,0.1 ,2.5 
だいこん類　切干しだいこん　乾,9.7 ,0.8 ,51.3 
だいこん類　切干しだいこん　ゆで,0.9 ,0.1 ,0.7 
だいこん類　切干しだいこん　油いため,1.5 ,6.0,2.6 
だいこん類　漬物　いぶりがっこ,1.1 ,0.3 ,13.9 
だいこん類　漬物　ぬかみそ漬,1.3 ,0.1 ,5.2 
だいこん類　漬物　たくあん漬　塩押しだいこん漬,0.6 ,0.3 ,8.5 
だいこん類　漬物　たくあん漬　干しだいこん漬,1.9 ,0.1 ,2.3 
だいこん類　漬物　守口漬,5.3 ,0.2 ,41.0
だいこん類　漬物　べったら漬,0.4 ,0.2 ,11.5 
だいこん類　漬物　みそ漬,2.1 ,0.3 ,9.0
だいこん類　漬物　福神漬,2.7 ,0.1 ,29.4 
たいさい類　つまみな　葉　生,1.9 ,0.3 ,1.7 
たいさい類　たいさい　葉　生,0.9 ,0.1 ,2.1 
たいさい類　たいさい　塩漬,1.6 ,0.1 ,2.1 
たかな　葉　生,1.8 ,0.2 ,2.0
たかな　たかな漬,1.9 ,0.6 ,2.1 
たけのこ　若茎　生,3.6 ,0.2 ,2.5 
たけのこ　若茎　ゆで,3.5 ,0.2 ,3.2 
たけのこ　水煮缶詰,2.7 ,0.2 ,2.6 
たけのこ　めんま　塩蔵　塩抜き,1.0,0.5 ,0.6 
たまねぎ類　たまねぎ　りん茎　生,1.0,0.1 ,7.1 
たまねぎ類　たまねぎ　りん茎　水さらし,0.6 ,0.1 ,4.9 
たまねぎ類　たまねぎ　りん茎　ゆで,0.8 ,0.1 ,5.9 
たまねぎ類　たまねぎ　りん茎　油いため,1.4 ,5.9 ,10.1 
たまねぎ類　たまねぎ　りん茎　油いため　あめ色たまねぎ,3.2 ,6.8 ,35.5 
たまねぎ類　赤たまねぎ　りん茎　生,0.9 ,0.1 ,7.4 
たまねぎ類　葉たまねぎ　りん茎及び葉　生,1.8 ,0.4 ,5.2 
たらのめ　若芽　生,4.2 ,0.2 ,0.1 
たらのめ　若芽　ゆで,4.0,0.2 ,0.5 
チコリ　若芽　生,1.0,0.0 ,3.0
ちぢみゆきな　葉　生,3.6 ,0.6 ,2.2 
ちぢみゆきな　葉　ゆで,3.8 ,0.7 ,1.4 
チンゲンサイ　葉　生,0.6 ,0.1 ,0.7 
チンゲンサイ　葉　ゆで,0.9 ,0.1 ,0.7 
チンゲンサイ　葉　油いため,0.8 ,3.2 ,0.7 
つくし　胞子茎　生,3.5 ,0.1 ,0
つくし　胞子茎　ゆで,3.4 ,0.1 ,0
つるな　茎葉　生,1.8 ,0.1 ,0.5 
つるにんじん　根　生,1.0,0.7 ,2.7 
つるむらさき　茎葉　生,0.7 ,0.2 ,0.6 
つるむらさき　茎葉　ゆで,0.9 ,0.2 ,0.3 
つわぶき　葉柄　生,0.4 ,0,3.1 
つわぶき　葉柄　ゆで,0.3 ,0,2.1 
とうがらし　葉･果実　生,3.4 ,0.1 ,2.5 
とうがらし　葉･果実　油いため,4.0,4.9 ,3.4 
とうがらし　果実　生,3.9 ,3.4 ,9.2 
とうがらし　果実　乾,14.7 ,12.0,23.5 
とうがん　果実　生,0.5 ,0.1 ,2.7 
とうがん　果実　ゆで,0.6 ,0.1 ,2.4 
とうもろこし類　スイートコーン　未熟種子　生,3.6 ,1.7 ,14.8 
とうもろこし類　スイートコーン　未熟種子　ゆで,3.5 ,1.7 ,16.6 
とうもろこし類　スイートコーン　未熟種子　電子レンジ調理,4.2 ,2.2 ,17.1 
とうもろこし類　スイートコーン　未熟種子　穂軸つき　冷凍,3.5 ,1.5 ,16.3 
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍,2.9 ,1.3 ,15.6 
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍　ゆで,2.8 ,1.5 ,13.0
とうもろこし類　スイートコーン　未熟種子　カーネル　冷凍　油いため,2.9 ,5.8 ,15.4 
とうもろこし類　スイートコーン　缶詰　クリームスタイル,1.7 ,0.5 ,17.0
とうもろこし類　スイートコーン　缶詰　ホールカーネルスタイル,2.3 ,0.5 ,14.7 
とうもろこし類　ヤングコーン　幼雌穂　生,2.3 ,0.2 ,3.9 
トマト類　赤色トマト　果実　生,0.7 ,0.1 ,3.5 
トマト類　赤色ミニトマト　果実　生,1.1 ,0.1 ,5.6 
トマト類　黄色トマト　果実　生,1.1 ,0.4 ,2.2 
トマト類　ドライトマト,14.2 ,2.1 ,47.8 
トマト類　加工品　ホール　食塩無添加,0.9 ,0.2 ,3.2 
トマト類　加工品　トマトジュース　食塩添加,0.7 ,0.1 ,3.3 
トマト類　加工品　トマトジュース　食塩無添加,0.7 ,0.1 ,3.3 
トマト類　加工品　ミックスジュース　食塩添加,0.6 ,0,3.7 
トマト類　加工品　ミックスジュース　食塩無添加,0.6 ,0,3.7 
トレビス　葉　生,1.1 ,0.2 ,2.3 
とんぶり　ゆで,6.1 ,3.5 ,6.7 
ながさきはくさい　葉　生,1.3 ,0.1 ,0.8 
ながさきはくさい　葉　ゆで,2.2 ,0.1 ,1.6 
なす類　なす　果実　生,1.1 ,0.1 ,3.0
なす類　なす　果実　ゆで,1.0,0.1 ,2.5 
なす類　なす　果実　油いため,1.5 ,5.8 ,3.9 
なす類　なす　果実　天ぷら,1.6 ,14.0,11.5 
なす類　べいなす　果実　生,1.1 ,0.1 ,2.8 
なす類　べいなす　果実　素揚げ,1.0,17.0,5.1 
なす類　漬物　塩漬,1.4 ,0.1 ,3.1 
なす類　漬物　ぬかみそ漬,1.7 ,0.1 ,3.4 
なす類　漬物　こうじ漬,5.5 ,0.1 ,14.0
なす類　漬物　からし漬,2.6 ,0.2 ,26.5 
なす類　漬物　しば漬,1.4 ,0.2 ,2.6 
なずな　葉　生,4.3 ,0.1 ,1.6 
なばな類　和種なばな　花らい・茎　生,4.4 ,0.2 ,2.5 
なばな類　和種なばな　花らい・茎　ゆで,4.7 ,0.1 ,0.9 
なばな類　洋種なばな　茎葉　生,4.1 ,0.4 ,3.3 
なばな類　洋種なばな　茎葉　ゆで,3.6 ,0.4 ,2.1 
にがうり　果実　生,1.0,0.1 ,1.6 
にがうり　果実　油いため,1.2 ,3.3 ,2.3 
にら類　にら　葉　生,1.7 ,0.3 ,1.9 
にら類　にら　葉　ゆで,2.6 ,0.5 ,2.4 
にら類　にら　葉　油いため,1.9 ,5.7 ,2.2 
にら類　花にら　花茎・花らい　生,1.9 ,0.2 ,3.7 
にら類　黄にら　葉　生,2.1 ,0.1 ,1.9 
にんじん類　葉にんじん　葉　生,1.1 ,0.2 ,1.0
にんじん類　にんじん　根　皮つき　生,0.7 ,0.2 ,6.8 
にんじん類　にんじん　根　皮つき　ゆで,0.6 ,0.2 ,5.7 
にんじん類　にんじん　根　皮なし　生,0.8 ,0.1 ,6.2 
にんじん類　にんじん　根　皮なし　ゆで,0.7 ,0.1 ,5.6 
にんじん類　にんじん　根　皮なし　油いため,1.1 ,6.4 ,9.3 
にんじん類　にんじん　根　皮なし　素揚げ,1.0,3.5 ,12.9 
にんじん類　にんじん　根　皮　生,0.7 ,0.2 ,3.7 
にんじん類　にんじん　根　冷凍,0.8 ,0.2 ,4.1 
にんじん類　にんじん　根　冷凍　ゆで,0.7 ,0.2 ,3.5 
にんじん類　にんじん　根　冷凍　油いため,0.9 ,4.0,5.2 
にんじん類　にんじん　グラッセ,0.7 ,1.4 ,10.3 
にんじん類　にんじん　ジュース　缶詰,0.6 ,0.1 ,6.7 
にんじん類　きんとき　根　皮つき　生,1.8 ,0.2 ,6.3 
にんじん類　きんとき　根　皮つき　ゆで,1.9 ,0.2 ,5.5 
にんじん類　きんとき　根　皮なし　生,1.8 ,0.3 ,6.8 
にんじん類　きんとき　根　皮なし　ゆで,1.9 ,0.4 ,6.3 
にんじん類　ミニキャロット　根　生,0.7 ,0.2 ,5.1 
にんにく類　にんにく　りん茎　生,6.4 ,0.9 ,24.1 
にんにく類　にんにく　りん茎　油いため,8.2 ,5.9 ,27.6 
にんにく類　茎にんにく　花茎　生,1.9 ,0.3 ,7.5 
にんにく類　茎にんにく　花茎　ゆで,1.7 ,0.2 ,7.5 
ねぎ類　根深ねぎ　葉　軟白　生,1.4 ,0.1 ,6.4 
ねぎ類　根深ねぎ　葉　軟白　ゆで,1.3 ,0.1 ,4.8 
ねぎ類　根深ねぎ　葉　軟白　油いため,1.6 ,4.4 ,7.7 
ねぎ類　葉ねぎ　葉　生,1.9 ,0.3 ,4.0
ねぎ類　葉ねぎ　葉　油いため,2.1 ,5.2 ,4.9 
ねぎ類　こねぎ　葉　生,2.0,0.3 ,3.7 
のざわな　葉　生,0.9 ,0.1 ,1.7 
のざわな　漬物　塩漬,1.2 ,0.1 ,1.8 
のざわな　漬物　調味漬,1.7 ,0,2.3 
のびる　りん茎葉　生,3.2 ,0.2 ,8.7 
はくさい　結球葉　生,0.8 ,0.1 ,2.1 
はくさい　結球葉　ゆで,0.9 ,0.1 ,1.8 
はくさい　漬物　塩漬,1.5 ,0.1 ,1.8 
はくさい　漬物　キムチ,2.3 ,0.1 ,2.7 
パクチョイ　葉　生,1.6 ,0.2 ,1.0
バジル　葉　生,2.0,0.6 ,0.9 
パセリ　葉　生,4.0,0.7 ,1.9 
はつかだいこん　根　生,0.8 ,0.1 ,2.0
はなっこりー　生,3.6 ,0.5 ,2.3 
はやとうり　果実　白色種　生,0.6 ,0.1 ,4.0
はやとうり　果実　白色種　塩漬,0.6 ,0.0 ,3.0
はやとうり　果実　緑色種　生,0.6 ,0.1 ,3.7 
ビーツ　根　生,1.6 ,0.1 ,7.2 
ビーツ　根　ゆで,1.5 ,0.1 ,7.8 
