食品名,P,F,C
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　添付調味料等を含まないもの,8.5 ,1.9 ,69.4 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　添付調味料等を含むもの,10.9 ,18.5 ,54.7 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　添付調味料等を含むもの,2.5 ,4.2 ,11.2 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　スープを残したもの,3.8 ,7.7 ,24.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　添付調味料等を含むもの,10.0,19.1 ,50.5 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　添付調味料等を含むもの,2.3 ,4.5 ,9.8 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　スープを残したもの,3.0,5.8 ,19.4 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　添付調味料等を含むもの,8.2 ,18.6 ,56.1 
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　添付調味料等を含むもの,5.0 ,11.3 ,25.8 
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　添付調味料等を含むもの,9.2 ,5.8 ,58.0
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　添付調味料等を含むもの,2.5 ,2.1 ,9.2 
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　スープを残したもの,3.4 ,1.3 ,23.5 
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　添付調味料等を含むもの,10.9 ,19.8 ,51.9 
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　添付調味料等を含むもの,2.2 ,4.7 ,10.3 
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　スープを残したもの,2.7 ,7.2 ,22.6 
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,12.9 ,1.8 ,68.9 
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,5.8 ,0.9 ,29.7 
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,5.5 ,5.8 ,28.4 
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,7.8 ,1.9 ,45.9 
こむぎ　［ふ類］　生ふ,12.7 ,0.8 ,26.8 
こむぎ　［ふ類］　焼きふ　釜焼きふ,28.5 ,2.7 ,55.2 
こむぎ　［ふ類］　焼きふ　板ふ,25.6 ,3.3 ,55.9 
こむぎ　［ふ類］　焼きふ　車ふ,30.2 ,3.4 ,54.4 
こむぎ　［ふ類］　油ふ,22.7 ,35.3 ,34.4 
こむぎ　［その他］　小麦はいが,32.0,11.6 ,40.7 
こむぎ　［その他］　小麦たんぱく　粉末状,72.0,9.7 ,12.0
こむぎ　［その他］　小麦たんぱく　粒状,20.0,2.0,2.6 
こむぎ　［その他］　小麦たんぱく　ペースト状,25.0,4.1 ,5.5 
こむぎ　［その他］　かやきせんべい,10.6 ,1.9 ,75.1 
こむぎ　［その他］　ぎょうざの皮　生,9.3 ,1.4 ,55.9 
こむぎ　［その他］　しゅうまいの皮　生,8.3 ,1.4 ,57.7 
こむぎ　［その他］　春巻きの皮　生,8.3 ,1.6 ,57.7 
こむぎ　［その他］　春巻きの皮　揚げ,7.2 ,30.7 ,49.5 
こむぎ　［その他］　ピザ生地,9.1 ,3.0,49.1 
こむぎ　［その他］　ちくわぶ,7.1 ,1.2 ,30.3 
こむぎ　［その他］　パン粉　生,11.0,5.1 ,47.0
こむぎ　［その他］　パン粉　半生,12.5 ,5.8 ,53.5 
こむぎ　［その他］　パン粉　乾燥,14.6 ,6.8 ,62.5 
こむぎ　［その他］　冷めん　生,3.9 ,0.7 ,57.1 
こめ　［水稲穀粒］　玄米,6.8 ,2.7 ,72.4 
こめ　［水稲穀粒］　半つき米,6.5 ,1.8 ,75.7 
こめ　［水稲穀粒］　七分つき米,6.3 ,1.5 ,76.8 
こめ　［水稲穀粒］　精白米　うるち米,6.1 ,0.9 ,78.1 
こめ　［水稲穀粒］　精白米　もち米,6.4 ,1.2 ,77.4 
こめ　［水稲穀粒］　精白米　インディカ米,7.4 ,0.9 ,78.3 
こめ　［水稲穀粒］　はいが精米,6.5 ,2.0,74.7 
こめ　［水稲穀粒］　発芽玄米,6.5 ,3.3 ,72.6 
こめ　［水稲穀粒］　赤米,8.5 ,3.3 ,65.4 
こめ　［水稲穀粒］　黒米,7.8 ,3.2 ,66.4 
こめ　［水稲めし］　玄米,2.8 ,1.0,34.7 
